 Molecular Dynamics Program

 Number Of Particles   :          100
 Boxlength             :    5.0000000000000000     
 Density               :   0.80000000000000004     
 Temperature           :   0.50000000000000000     
 Cut-Off Radius        :    2.4999500000000001     
 Cut-Off Energy        :   -1.6318841245411584E-002
 Number Of Steps       :        50000
 Number Of Init Steps  :         5000
 Delta t               :    1.0000000000000000E-003
 Initial Energy        :    245316.72400150794     
 Final Energy          :   -240.12996283930053     

 Momentum X-Dir.        :   -4.6262993436130273E-013
 Momentum Y-Dir.        :    1.0137446437852304E-012
 Momentum Z-Dir.        :    1.2775891455873989E-013


 Step  TotalEnergy  KineticEnergy  PotentialEnergy  Temperature  Pressure
11650  -0.44176E+03   0.66874E+02  -0.50864E+03   0.45033E+00  -0.95391E+00
11700  -0.44176E+03   0.72307E+02  -0.51407E+03   0.48691E+00  -0.11233E+01
11750  -0.44176E+03   0.70603E+02  -0.51237E+03   0.47544E+00  -0.96144E+00
11800  -0.44176E+03   0.70550E+02  -0.51231E+03   0.47508E+00  -0.87219E+00
11850  -0.44176E+03   0.69521E+02  -0.51128E+03   0.46816E+00  -0.86313E+00
11900  -0.44176E+03   0.75427E+02  -0.51719E+03   0.50792E+00  -0.10479E+01
11950  -0.44176E+03   0.70070E+02  -0.51183E+03   0.47185E+00  -0.75964E+00
12000  -0.44176E+03   0.73547E+02  -0.51531E+03   0.49527E+00  -0.84699E+00
12050  -0.44176E+03   0.76331E+02  -0.51809E+03   0.51401E+00  -0.94704E+00
12100  -0.44176E+03   0.74843E+02  -0.51661E+03   0.50400E+00  -0.90107E+00
12150  -0.44176E+03   0.75915E+02  -0.51768E+03   0.51121E+00  -0.94482E+00
12200  -0.44176E+03   0.76945E+02  -0.51871E+03   0.51815E+00  -0.95548E+00
12250  -0.44176E+03   0.72253E+02  -0.51402E+03   0.48655E+00  -0.71357E+00
12300  -0.44176E+03   0.74342E+02  -0.51611E+03   0.50062E+00  -0.66813E+00
